                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.5437,                 1.2228,                 1.3711,                0.37526,                0.36488,                0.28843,                0.11002,                 2.2555,                 1.8238,                 1.8809,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.5577,                 1.2287,                 1.3764,                0.40194,                0.35081,                0.30259,                0.11582,                  2.164,                 1.8032,                 1.8083,              0.0006438,              0.0006438,              0.0006438
                     65,                  1.544,                 1.2139,                 1.3648,                0.36201,                0.37017,                0.29267,                0.11536,                  2.238,                 1.8399,                 1.8548,             0.00062729,             0.00062729,             0.00062729
                     66,                  1.545,                 1.2237,                 1.3684,                0.40159,                0.35935,                 0.2981,                0.11188,                 2.2423,                 1.8131,                 1.8802,             0.00061079,             0.00061079,             0.00061079
                     67,                  1.525,                  1.203,                 1.3573,                0.39322,                0.36838,                0.30739,                0.11834,                 2.2013,                  1.811,                 1.8574,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.5242,                 1.1855,                 1.3539,                0.41243,                0.34127,                0.30172,                  0.118,                 2.1889,                  1.865,                 1.8195,             0.00057778,             0.00057778,             0.00057778
                     69,                  1.533,                 1.2071,                 1.3595,                0.43808,                0.33345,                0.31755,                0.12211,                 2.1711,                 1.8044,                  1.827,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.5236,                 1.1816,                 1.3462,                0.39676,                0.37632,                0.29832,                 0.1108,                 2.2338,                 1.8341,                 1.8942,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.5256,                 1.1899,                 1.3479,                0.39954,                0.34978,                0.29038,                0.10953,                 2.2127,                 1.9162,                 1.8411,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.5127,                 1.1575,                 1.3389,                 0.4627,                0.33608,                 0.3058,                0.11424,                 2.2192,                  1.869,                 1.8659,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.5083,                 1.1675,                 1.3428,                0.41498,                0.36871,                 0.3056,                0.11252,                 2.2196,                 1.8408,                 1.8672,             0.00049527,             0.00049527,             0.00049527
